title,link,phone_number
Abdul Aziz Medical Center,/company/352578/abdul-aziz-medical-center,+971 56 499 4545
Zain Cura Medical Center,/company/375462/zain-cura-medical-center,+97145703423
Dubai Cosmetic Surgery Clinic,/company/347106/dubai-cosmetic-surgery-clinic,+971 4 348 5575
Unipex Dairy Products Co. Ltd,/company/148789/unipex-dairy-products-co-ltd,+971 6 533 7864
Zulekha Hospital Sharjah,/company/17710/zulekha-hospital,+971 6 506 0000
Ajman Medical Center,/company/367225/ajman-medical-center,+971 6 743 0088
Al Amumah Medical Centre,/company/352120/dr-uma-maheswari,+971 6 566 7661
Ambulance Manufacturer Vladco FZE ,/company/353996/ambulance-manufacturer-vladco-fze,Not Found
City Hospital Dubai,/company/343909/city-hospital-dubai,+971 04 435.9999
Dr. Paul's Dental Clinic,/company/366504/dr-pauls-dental-clinic,+971 4 357 5783
Al Ahli Hospital Company - WLL,/company/263134/al-ahli-hospital-company-wll,+971-6262666
Al Borj Medical Centre,/company/354795/al-borj-medical-center,Not Found
Al Noor Medical Centre,/company/30278/al-noor-medical-centre,+971 3 766 2072
American Academy of Cosmetic Surgery Hospital,/company/317469/american-academy-of-cosmetic-surgery-hospital,+971 4 423 7600
Corniche Medical Centre,/company/18378/corniche-medical-centre,+971 7-222-8456
Emirates Dermatology and Cosmetology Centre  EDCC,/company/366533/emirates-dermatology-and-cosmetology-centre-edcc,+971 2 555 5255
Emirates French Hospital - LLC,/company/30334/emirates-french-hospital-l-l-c,+971 2 626 5722
Kottakkal Ayurvedic Treatment Centre,/company/367721/kottakkal-ayurvedic-treatment-centre,Not Found
MedxPharmacy,/company/365399/medxpharmacy,Not Found
NICE CARE Medical Center,/company/344186/nice-care-medical-center,+971 4 379 4444
Pearl Dental Clinic Dubai,/company/363160/pearl-dental-clinic-dubai,+971 4 427 0710
The DentalSPA,/company/344601/the-dental-spa-dubai,+971 4 395 2005
TransformEd Healthcare Training Institute ,/company/350897/transformed-management-and-administration-training,Not Found
Dental Clinic - Al Abqari Dental Clinic,/company/344092/al-abqari-dental-clinic,+971 6 565 0690
VIVANDI Trichology Center - Hair Replacement,/company/363612/vivandi-trichology-center-hair-replacement,Not Found
Bristol Gases,/company/301901/bristol-gases,+971 4 347 2436
ConfiDent Dubai Palm Dental Clinic,/company/365547/confident-dubai-palm-dental-clinic,Not Found
